Fish Species,Season,Water Temp,Water Clarity,Weather,Time of Day,Waterbody Type,Best Baits (Retrieve Styles),Recommended Bait Colors,Where to Fish,Target Depth
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,After Rain,Morning,Pond,Chatterbait (medium retrieve) & Spinnerbait (slow roll),Black/blue & Chartreuse white,Shallow cover & Vegetation seams,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,After Rain,Afternoon,Pond,Texas-rigged creature bait (drag slowly) & Flipping jig (slow lift),Junebug & Black/blue,Brush piles & Vegetation lines,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,After Rain,Evening,Pond,Buzzbait (medium retrieve) & Soft swimbait (slow twitch),Black & Pearl white,Flooded grass flats & Vegetation mats,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Morning,Lake,Swim jig (steady retrieve) & Wacky rigged Senko (deadstick),Green pumpkin & Watermelon red,Shallow grass edges & Dock pilings,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Afternoon,Lake,Wacky rigged Senko (deadstick) & Finesse jig (slow hop),Watermelon red & Green pumpkin,Natural shallow flats & Dock edges,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Evening,Lake,Spinnerbait (slow roll) & Swim jig (medium retrieve),White/chartreuse & Ghost shad,Wind-blown points & Gravel bars,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Morning,Lake,Swimbait (slow roll) & Jerkbait (pause-twitch),Ghost shad & Natural shad,Secondary spawning coves & Secondary points,4-7 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Afternoon,Lake,Chatterbait (slow retrieve) & Spinnerbait (slow roll),White/chartreuse & Green pumpkin,Shallow gravel flats & Near docks,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Evening,Lake,Swim jig (slow retrieve) & Ned rig (slow drag),Green pumpkin & Watermelon seed,Grass edges & Dock pilings,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Morning,Lake,Lipless crankbait (yo-yo retrieve) & Jerkbait (fast twitch),Red craw & Ghost shad,Wind-blown rocky banks & Main lake points,4-8 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Afternoon,Lake,Spinnerbait (medium retrieve) & Chatterbait (medium retrieve),White/chartreuse & Green pumpkin,Wind-blown gravel bars & Shallow secondary points,4-8 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Evening,Lake,Jerkbait (twitch-pause) & Swim jig (slow retrieve),Ghost minnow & Green pumpkin,Riprap banks & Windy docks,5-9 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Morning,Lake,Suspending jerkbait (deadstick) & Texas-rigged craw (lift-drop),Ghost shad & Junebug,Secondary points & Brushy flats,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Afternoon,Lake,Swimbait (slow roll) & Wacky rigged Senko (drift),Ayu & Watermelon seed,Gravel banks & Shallow spawning flats,4-8 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Evening,Lake,Finesse jig (slow drag) & Ned rig (slow hop),Green pumpkin & Watermelon red,Shallow pockets & Gravel transitions,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,After Rain,Morning,Lake,Chatterbait (medium retrieve) & Swim jig (steady retrieve),Green pumpkin shad & Black/blue,Muddy inflow points & Vegetation edges,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,After Rain,Afternoon,Lake,Squarebill crankbait (medium retrieve) & Spinnerbait (medium retrieve),Chartreuse shad & White/chartreuse,Shallow brushy points & Wind-blown flats,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,After Rain,Evening,Lake,Lipless crankbait (fast retrieve) & Wacky rigged Senko (deadstick),Chrome blue & Watermelon red,Muddy pockets & Gravel banks,2-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Morning,River,Spinnerbait (steady retrieve) & Chatterbait (slow roll),White/chartreuse & Green pumpkin,Current seams & Riprap banks,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Afternoon,River,Chatterbait (slow roll) & Texas-rigged craw (lift-drop),Green pumpkin & Black/blue,Eddy seams & Flooded wood,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Evening,River,Swim jig (slow retrieve) & Spinnerbait (medium retrieve),Green pumpkin & Chartreuse/white,Backwater coves & Shallow current breaks,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Morning,River,Squarebill crankbait (medium retrieve) & Chatterbait (steady retrieve),Chartreuse/black back & Sexy shad,Rocky banks & Secondary points,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Afternoon,River,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Green pumpkin & White/chartreuse,Muddy points & Eddies,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Evening,River,Texas-rigged creature bait (drag) & Swim jig (slow retrieve),Junebug & Green pumpkin,Brush piles & Shallow sloughs,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Windy,Morning,River,Spinnerbait (slow roll) & Chatterbait (slow retrieve),Chartreuse/white & Black/blue,Wind-blown rocky banks & Current seams,3-7 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Windy,Afternoon,River,Lipless crankbait (yo-yo retrieve) & Jerkbait (twitch-pause),Fire craw & Ghost minnow,Windy inflow points & Shallow riprap,4-8 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Windy,Evening,River,Chatterbait (slow retrieve) & Swim jig (medium retrieve),Green pumpkin & White,Brushy eddies & Riprap banks,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Rainy,Morning,River,Spinnerbait (slow roll) & Texas-rigged creature bait (drag slowly),White/chartreuse & Junebug,Muddy inflows & Laydowns,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Rainy,Afternoon,River,Chatterbait (slow retrieve) & Spinnerbait (medium retrieve),Green pumpkin & Chartreuse/white,Flooded vegetation & Eddy seams,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Rainy,Evening,River,Buzzbait (slow retrieve) & Topwater frog (walk slowly),Black & White,Flooded grass & Brushy sloughs,1-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,After Rain,Morning,River,Squarebill crankbait (medium retrieve) & Chatterbait (medium retrieve),Chartreuse shad & Fire craw,Shallow flats & Muddy points,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,After Rain,Afternoon,River,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Green pumpkin & White/chartreuse,Backwater sloughs & Brushy cover,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,After Rain,Evening,River,Lipless crankbait (yo-yo retrieve) & Texas-rigged craw (lift-drop),Red craw & Black/blue,Muddy banks & Brushy seams,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Windy,Afternoon,River,Spinnerbait (medium retrieve) & Chatterbait (slow roll),White/chartreuse & Fire craw,Current seams & Rocky eddies,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Cloudy,Morning,River,Jerkbait (twitch-pause) & Lipless crankbait (yo-yo retrieve),Ghost shad & Chrome blue,Main channel banks & Current breaks,4-8 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,After Rain,Morning,River,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Green pumpkin & Chartreuse/white,Backwater seams & Inflow transitions,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Clear,Rainy,Afternoon,River,Suspending jerkbait (deadstick) & Swim jig (slow retrieve),Natural shad & Green pumpkin,Gravel transitions & Brushy eddies,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Sunny,Evening,River,Texas-rigged craw (slow hop) & Spinnerbait (medium retrieve),Junebug & White/chartreuse,Shallow wood & Riprap seams,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Cloudy,Morning,River,Chatterbait (slow roll) & Squarebill crankbait (medium retrieve),Chartreuse shad & Fire craw,Muddy current breaks & Laydowns,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Windy,Afternoon,River,Spinnerbait (medium retrieve) & Texas-rigged creature bait (drag),White/chartreuse & Junebug,Wind-blown eddies & Rocky banks,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,After Rain,Evening,River,Lipless crankbait (fast retrieve) & Chatterbait (medium retrieve),Red craw & Green pumpkin,Muddy backwater seams & Secondary current pockets,3-6 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Stained,Rainy,Morning,River,Spinnerbait (slow roll) & Swim jig (slow retrieve),Black/blue & Chartreuse/white,Eddies behind rocks & Downstream logs,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Windy,Morning,River,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Fire craw & Black/blue,Muddy banks & Grass lines,2-4 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,Rainy,Afternoon,River,Spinnerbait (Colorado blade slow roll) & Buzzbait (slow retrieve),Black neon & Chartreuse black,Muddy seams & Submerged timber,2-5 feet
Largemouth Bass,Pre-Spawn,Cold (45-55F),Murky,After Rain,Evening,River,Buzzbait (slow retrieve) & Chatterbait (slow roll),Black & Junebug,Muddy backwater mats & Current slack water,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Morning,Pond,Wacky rigged Senko (deadstick) & Swim jig (slow retrieve),Watermelon red & Green pumpkin,Shallow vegetation & Near dock pilings,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Afternoon,Pond,Texas-rigged craw (drag) & Ned rig (hop and pause),Green pumpkin & Watermelon seed,Flooded brush & Gravel pockets,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Evening,Pond,Swim jig (slow roll) & Chatterbait (slow retrieve),White & Green pumpkin,Vegetation edges & Brush lines,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Morning,Pond,Lipless crankbait (yo-yo retrieve) & Jerkbait (twitch-pause),Chrome blue & Ghost minnow,Wind-blown banks & Shallow rocky points,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Afternoon,Pond,Spinnerbait (medium retrieve) & Swim jig (slow retrieve),Chartreuse/white & Green pumpkin,Vegetation seams & Muddy points,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Evening,Pond,Chatterbait (slow retrieve) & Soft plastic jerkbait (slow twitch),Green pumpkin & Junebug,Flooded grass lines & Shallow pockets,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Afternoon,Pond,Texas-rigged creature bait (slow lift-drop) & Swim jig (slow retrieve),Junebug & Black/blue,Vegetation clumps & Brush piles,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Morning,Pond,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Fire craw & Chartreuse/white,Flooded cover & Grass mats,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Windy,Evening,Pond,Buzzbait (medium retrieve) & Chatterbait (slow roll),Black & Green pumpkin,Muddy flats & Brushy pockets,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,After Rain,Morning,Pond,Spinnerbait (slow roll) & Ned rig (slow hop),Black/blue & Watermelon red,Shallow edges & Vegetation seams,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Rainy,Afternoon,Pond,Swim jig (slow retrieve) & Wacky rigged Senko (deadstick),Green pumpkin & Watermelon seed,Flooded grass & Brushy banks,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Sunny,Morning,Pond,Texas-rigged creature bait (lift-drop) & Chatterbait (slow roll),Black/blue & Fire craw,Matted grass & Shallow brush,2-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Cloudy,Afternoon,Pond,Spinnerbait (Colorado blade  slow roll) & Buzzbait (slow retrieve),Black & Chartreuse black,Muddy back edges & Vegetation mats,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Windy,Evening,Pond,Chatterbait (medium retrieve) & Swim jig (slow retrieve),Black/blue & Green pumpkin,Grass clumps & Algae mats,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Rainy,Morning,Pond,Buzzbait (slow retrieve) & Texas-rigged craw (drag),Black & Junebug,Vegetation lines & Muddy cover,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,After Rain,Afternoon,Pond,Chatterbait (slow retrieve) & Swim jig (steady retrieve),Fire craw & Green pumpkin,Muddy banks & Vegetation seams,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Afternoon,River,Swimbait (slow roll) & Jerkbait (pause-twitch),Ghost minnow & Natural shad,Shallow points & Gravel transitions,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Evening,River,Spinnerbait (slow roll) & Texas-rigged craw (lift-drop),White/chartreuse & Junebug,Wind-blown banks & Secondary points,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Morning,River,Lipless crankbait (yo-yo retrieve) & Chatterbait (medium retrieve),Red craw & Green pumpkin,Windy rocky banks & Current seams,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Afternoon,River,Jerkbait (deadstick) & Swim jig (slow retrieve),Ghost shad & Green pumpkin,Eddies & Secondary gravel points,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,After Rain,Evening,River,Chatterbait (slow retrieve) & Spinnerbait (medium retrieve),Green pumpkin & Chartreuse white,Muddy transitions & Shallow cover,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Morning,River,Spinnerbait (medium retrieve) & Swim jig (slow retrieve),White/chartreuse & Black/blue,Riprap banks & Current breaks,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Afternoon,River,Chatterbait (slow retrieve) & Squarebill crankbait (medium retrieve),Chartreuse black back & Fire craw,Backwater seams & Rocky points,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Windy,Evening,River,Spinnerbait (slow roll) & Texas-rigged creature bait (drag),Chartreuse/white & Junebug,Wind-blown pockets & Current seams,3-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Rainy,Morning,River,Swim jig (slow retrieve) & Chatterbait (slow retrieve),Green pumpkin & Black/blue,Muddy banks & Eddies,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,After Rain,Afternoon,River,Lipless crankbait (yo-yo retrieve) & Spinnerbait (slow roll),Fire craw & Chartreuse/white,Shallow transitions & Flooded brush,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Sunny,Afternoon,River,Chatterbait (slow retrieve) & Spinnerbait (slow roll),Black/blue & Green pumpkin,Muddy seams & Brushy cover,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Cloudy,Evening,River,Spinnerbait (Colorado blade slow roll) & Texas-rigged craw (drag),Black neon & Junebug,Grass lines & Muddy breaks,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Windy,Morning,River,Buzzbait (slow retrieve) & Chatterbait (slow roll),Black & Green pumpkin,Vegetation mats & Windy banks,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,Rainy,Afternoon,River,Spinnerbait (slow roll) & Swim jig (slow retrieve),Fire craw & Chartreuse/black,Muddy current seams & Shallow logs,2-4 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Murky,After Rain,Evening,River,Topwater frog (slow walk) & Buzzbait (slow retrieve),Black & Chartreuse black,Backwater mats & Shallow flooded vegetation,1-3 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Sunny,Morning,Lake,Jerkbait (twitch-pause) & Swimbait (slow roll),Ghost shad & Natural shad,Mid-depth points & Secondary rocky points,5-10 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Cloudy,Afternoon,Lake,Swim jig (slow retrieve) & Wacky rigged Senko (deadstick),Green pumpkin & Watermelon red,Vegetation edges & Docks,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Windy,Evening,Lake,Spinnerbait (medium retrieve) & Lipless crankbait (yo-yo retrieve),White/chartreuse & Red craw,Wind-blown coves & Gravel flats,4-8 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,Rainy,Morning,Lake,Suspending jerkbait (deadstick) & Ned rig (slow hop),Ghost minnow & Green pumpkin,Secondary points & Brush piles,4-7 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Clear,After Rain,Afternoon,Lake,Chatterbait (slow retrieve) & Swim jig (slow retrieve),Green pumpkin & Black/blue,Shallow muddy coves & Inflow pockets,2-5 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Sunny,Evening,Lake,Spinnerbait (medium retrieve) & Texas-rigged craw (drag),Chartreuse/white & Junebug,Riprap banks & Laydowns,3-6 feet
Largemouth Bass,Pre-Spawn,Mild (55-58F),Stained,Cloudy,Morning,Lake,Chatterbait (slow retrieve) & Squarebill crankbait (steady retrieve),Chartreuse black back & Fire craw,Flooded brush & Gravel transitions,3-5 feet
