Fish Species,Season,Water Temp,Water Clarity,Weather,Time of Day,Waterbody Type,Best Baits (Retrieve Styles),Recommended Bait Colors,Where to Fish,Target Depth
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Afternoon,Lake,Hair jig (lift-hold) & Minnow under float (jiggle),Natural & Blue ice & White & Pink,Deep slope transitions & Submerged brush,12-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Evening,Lake,Inline spinner jig (pause-roll) & Soft plastic minnow (bounce),Silver & Chartreuse & Purple & Glow,Old timber lines & Channel humps,10-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Morning,Lake,1/32 oz jig (tap) & Minnow on tight line (drag),White & Firetiger & Natural & Shad,Flat drop-offs & Structure cuts,11-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Afternoon,Lake,Tube jig (lift-drag) & Hair jig (pulse-hold),Blue & Gold & Silver & Monkey milk,Brushy creek mouths & Rocky breaks,12-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Evening,Lake,Vertical jig with grub (pause) & Float rig with minnow (still),Chartreuse & Orange & Pink & White,Point shelves & Deep flat cover,10-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Morning,Lake,Minnow on jighead (hover-twitch) & Soft plastic minnow (jiggle),Chartreuse & White & Glow & Silver,Brush-lined ledges & Gravel cuts,8-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Afternoon,Lake,Tube jig (bounce-lift) & Curl tail grub (drag),Pink & Natural & Firetiger & Monkey milk,Rock humps & Shaded drop-offs,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Evening,Lake,Inline spinner jig (pulse) & Minnow under slip float (drift),Blue ice & Gold & White & Shad,Shallow creek channels & Timber flats,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Morning,Lake,Hair jig (tap-drag) & Soft plastic grub (lift-pause),Pearl & Chartreuse & Pink & Glow,Brush piles & Transitional slopes,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Afternoon,Lake,Tube jig (jiggle-pause) & 1/16 oz jig with minnow (still),Shad & Orange & White & Silver,Mid-depth shelves & Rock-lined cuts,10-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Evening,Lake,Curl tail grub (tap) & Vertical minnow rig (hover),Natural & Chartreuse & Pink & Monkey milk,Staging timber & Drop-off flats,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Morning,Lake,Soft plastic minnow (drag) & Tube jig (pulse),Silver & Firetiger & Blue & Glow,Windward brush & Timber lanes,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Afternoon,Lake,Hair jig (jiggle-hold) & Minnow slip float (slow move),White & Pink & Natural & Chartreuse,Sloped creek beds & Edge brush,10-14 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Evening,Lake,Swimbait (bounce) & Jig/minnow combo (tap-lift),Gold & Glow & Monkey milk & Shad,Gravel humps & Near submerged trees,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Morning,Lake,Tube jig (pause) & Hair jig (drift),Pearl & Chartreuse & White & Pink,Flat-bottom transitions & Creek edges,9-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Afternoon,Lake,Soft plastic minnow (slow retrieve) & Slip float with minnow (barely move),Natural & Blue ice & Glow & Orange,Rocky mouths & Brushy flats,10-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Evening,Lake,1/32 oz jig (drag-lift) & Tube jig (hover),Chartreuse & Firetiger & White & Silver,Channel drop-offs & Wood-lined humps,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Morning,Lake,Curl tail grub (bounce-pause) & Marabou jig (tap-drag),Pink & Glow & Shad & Chartreuse,Creek mouths & Gravel slopes,8-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Afternoon,Lake,Vertical jig (pause-lift) & Jig with minnow (hold),Silver & Natural & Blue & Firetiger,Timber intersections & Brushy ledges,10-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Evening,Lake,Hair jig (flutter-drop) & Tube jig (drag-pause),Blue ice & White & Gold & Pink,Rocky cuts & Flat-bottom timber,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Morning,Lake,Vertical jig with minnow (slow drag) & Hair jig (deadstick),Chartreuse & Black & Blue & Glow,Channel edges & Standing timber,10-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Afternoon,Lake,Tube jig (tap-pause) & Jig/minnow combo (slow lift),Purple & Chartreuse & Black & White,Brush piles near points & Creek ledges,12-16 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Evening,Lake,Swimbait (bounce) & Marabou jig (flutter),Orange & Chartreuse & Black & Silver,Shady drop-offs & Deep brush lines,10-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Morning,Lake,1/16 oz jig (pulse) & Tight-line minnow (tap-drag),Gold & Purple & Chartreuse & Blue,Timber edges & Creek channel cuts,11-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Afternoon,Lake,Hair jig (lift-hold) & Soft plastic grub (deadstick),Pink & Chartreuse & Natural & Glow,Rocky humps & Brushy shelves,12-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Evening,Lake,Tube jig (drag) & Minnow on float rig (pause),Blue & White & Firetiger & Black,Muddy drop-offs & Submerged brush,10-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Morning,Lake,Hair jig (slow twitch) & Curl tail grub (tap-lift),Chartreuse & Purple & Blue & Glow,Windblown points & Laydowns,11-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Afternoon,Lake,Tight-line rig (pulse-drag) & Tube jig (bounce),Pink & Silver & Orange & Chartreuse,Brush rows & Mid-depth slopes,12-16 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Evening,Lake,Swimbait (lift-drop) & Jig/minnow combo (slow move),Gold & Chartreuse & White & Blue,Steep transitions & Channel lips,10-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Rainy,Morning,Lake,Soft plastic grub (pause) & Slip float with minnow (hover),Chartreuse & Glow & Black & Silver,Timber channels & Gravel humps,10-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Rainy,Afternoon,Lake,Vertical jig (drag-lift) & Marabou jig (slow fall),Purple & Blue & Chartreuse & Shad,Eroded slopes & Old creek channels,11-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Rainy,Evening,Lake,Tube jig (flutter) & Tight-line grub (jiggle),Pink & Chartreuse & Firetiger & White,Timber flats & Creek bends,10-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,After Rain,Morning,Lake,Minnow on jighead (still) & Hair jig (pause),Black & Blue & Chartreuse & White,Silted brush piles & Drop-off lips,11-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,After Rain,Afternoon,Lake,Curl tail grub (tap-drag) & Tube jig (hover),Orange & Silver & Chartreuse & Natural,Rocky shelves & Channel transitions,12-15 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,After Rain,Evening,Lake,Marabou jig (slow retrieve) & Inline spinner jig (bounce),Gold & Pink & Firetiger & Blue,Brushy humps & Slope ends,10-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Sunny,Morning,Lake,Tube jig (pause-lift) & Soft plastic grub (jiggle),Chartreuse & Monkey milk & Glow & Purple,Brush-lined flats & Gravel drop-offs,8-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Sunny,Afternoon,Lake,Minnow under float (steady drift) & Swimbait (bounce),Pink & Gold & Chartreuse & Silver,Creek mouths & Deep stumps,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Sunny,Evening,Lake,Hair jig (lift-drop) & Jig/minnow combo (pause),Blue ice & Chartreuse & White & Glow,Standing timber & Ledge corners,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Cloudy,Morning,Lake,Slip float with tube jig (hover) & Curl tail grub (drag),Silver & Chartreuse & Black & Firetiger,Brushy slopes & Staging humps,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Cloudy,Afternoon,Lake,Hair jig (bounce-hold) & Tube jig (pause-lift),Orange & White & Chartreuse & Pink,Timber-lined ledges & Gravel humps,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Cloudy,Evening,Lake,Minnow on jighead (slow fall) & Swimbait (pulse),Gold & Blue & Chartreuse & Glow,Sheltered shelves & Rock points,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Windy,Morning,Lake,Vertical jig (tap) & Curl tail grub (jiggle),Pink & White & Chartreuse & Natural,Windward points & Brush flats,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Windy,Afternoon,Lake,Marabou jig (pause-lift) & Jig/minnow combo (steady),Firetiger & Blue ice & Chartreuse & Glow,Rock humps & Creek mouths,10-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Windy,Evening,Lake,Hair jig (slow roll) & Swimbait (bounce-drag),Blue & White & Chartreuse & Monkey milk,Timber edges & Flat transitions,9-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Rainy,Morning,Lake,Tube jig (hover) & Minnow on float (pause),Silver & Chartreuse & Gold & Pink,Creek intersections & Stump fields,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Rainy,Afternoon,Lake,Hair jig (pulse-hold) & Soft plastic grub (lift-drop),Natural & Blue & Chartreuse & Purple,Brushy ridges & Eroded ledges,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,Rainy,Evening,Lake,Vertical jig with curl tail (tap) & Swimbait (pause),White & Chartreuse & Firetiger & Blue ice,Flat shelf edges & Deep brush points,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,After Rain,Morning,Lake,Inline spinner jig (pulse) & Tube jig (pause-drag),Pink & Glow & Chartreuse & Natural,Tapered banks & Creek humps,8-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,After Rain,Afternoon,Lake,Marabou jig (drag-lift) & Curl tail grub (pause),Blue & White & Orange & Chartreuse,Shallow brush flats & Rock transitions,9-13 feet
Crappie,Pre-Spawn,Mild (52-55F),Stained,After Rain,Evening,Lake,Tube jig (flutter) & Minnow on slip rig (drift),Gold & Silver & Chartreuse & Pink,Brushy corners & Mid-depth timber,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Sunny,Morning,Lake,Bladed jig (slow roll) & Hair jig (deadstick),Black & Chartreuse & Junebug & White,Shallow brush piles & Muddy creek mouths,8-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Sunny,Afternoon,Lake,Tube jig (pulse-drop) & Curl tail grub (drag),Red & Black & Firetiger & Chartreuse,Mucky ledges & Brushy timber,9-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Sunny,Evening,Lake,Soft plastic grub (lift-hold) & Minnow on slip float (pause),Orange & Black & Glow & Purple,Muddy points & Timber flats,10-14 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Cloudy,Morning,Lake,Hair jig (flutter) & Inline spinner jig (slow roll),Black/blue & Chartreuse & Pink & White,Brush-covered slopes & Creek bends,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Cloudy,Afternoon,Lake,Swimbait (jiggle-drop) & Tube jig (pause),Gold & Orange & Chartreuse & Junebug,Stained humps & Muddy drop-offs,10-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Cloudy,Evening,Lake,Minnow on jighead (tap-drag) & Hair jig (deadstick),Black & Glow & Blue/black & Pink,Brushy creek arms & Flat timber,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Windy,Morning,Lake,1/16 oz jig (lift-drop) & Marabou jig (flutter),Chartreuse & Purple & Orange & Glow,Windblown shallow cover & Timber breaks,8-11 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Windy,Afternoon,Lake,Bladed jig (slow retrieve) & Soft plastic minnow (bounce),Black & Blue & Red & Firetiger,Channel ends & Submerged brush,9-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Windy,Evening,Lake,Tube jig (hold-drag) & Curl tail grub (slow twitch),Junebug & White & Pink & Glow,Muddy shelves & Brush-lined drop-offs,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Rainy,Morning,Lake,Minnow on float (pause) & Soft plastic grub (bounce),Black & Chartreuse & Orange & White,Silty timber edges & Gravel humps,8-11 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Rainy,Afternoon,Lake,Tube jig (jiggle-hold) & Hair jig (tap-drag),Red & Chartreuse & Blue/black & Glow,Brushy slopes & Channel lips,9-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,Rainy,Evening,Lake,Vertical jig (hover-drop) & Swimbait (lift-pause),Pink & Black & Orange & Chartreuse,Creek flats & Deep laydowns,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,After Rain,Morning,Lake,Tube jig (pause-roll) & Minnow under float (still),Black/blue & Glow & Chartreuse & Silver,Brush intersections & Rocky flats,9-12 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,After Rain,Afternoon,Lake,Hair jig (pulse-lift) & Curl tail grub (drag),Gold & Firetiger & Blue/white & Junebug,Timber near channels & Mud humps,9-13 feet
Crappie,Pre-Spawn,Cold (48-51F),Murky,After Rain,Evening,Lake,Soft plastic minnow (lift-drop) & Slip float with jig (pause),White & Chartreuse & Pink & Black,Stained flats & Submerged timber,9-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Sunny,Morning,Lake,Hair jig (slow roll) & Tube jig (lift-hold),Chartreuse & Red & Black & Orange,Brushy shallows & Timber points,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Sunny,Afternoon,Lake,Minnow on jighead (tap-lift) & Soft plastic grub (pause-drag),Pink & Glow & Black & Chartreuse,Muddy channel edges & Laydowns,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Sunny,Evening,Lake,Swimbait (slow retrieve) & Tube jig (pause-lift),Orange & White & Chartreuse & Purple,Brush-covered shelves & Creek flats,8-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Cloudy,Morning,Lake,Hair jig (pulse) & Curl tail grub (jiggle-hold),Red & Blue & Chartreuse & Glow,Stump fields & Muddy slopes,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Cloudy,Afternoon,Lake,Tube jig (pause-drag) & Minnow on float (still),Gold & Black & Chartreuse & Pink,Rocky ledges & Channel lips,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Cloudy,Evening,Lake,Inline spinner jig (tap-hold) & Hair jig (drift),Purple & Orange & Black & Glow,Timber edges & Soft-bottom transitions,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Windy,Morning,Lake,Tube jig (bounce-pause) & Soft plastic minnow (drag),Pink & Firetiger & Blue/black & Glow,Muddy humps & Creek mouths,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Windy,Afternoon,Lake,Marabou jig (slow fall) & Curl tail grub (pause),Black & Orange & Chartreuse & Purple,Stained flats & Submerged brush,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Windy,Evening,Lake,Vertical jig (hold-pause) & Tube jig (lift-drag),Red & Glow & Blue & Firetiger,Creek mouths & Timber points,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Rainy,Morning,Lake,Hair jig (drag) & Slip float minnow (barely move),Chartreuse & White & Pink & Orange,Murky slope edges & Brush clusters,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Rainy,Afternoon,Lake,Tight-line grub (tap-drag) & Tube jig (pause),Silver & Firetiger & Black & Red,Deep mud flats & Shallow drop-offs,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,Rainy,Evening,Lake,Minnow on jighead (lift-fall) & Hair jig (drift),Gold & Glow & White & Junebug,Channel shelves & Soft-bottom brush,8-11 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,After Rain,Morning,Lake,Bladed jig (steady) & Tube jig (tap-drag),Black & Blue & Pink & Chartreuse,Wind-blown cover & Creek transitions,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,After Rain,Afternoon,Lake,Curl tail grub (bounce) & Slip float with minnow (hold),Orange & Glow & Red & White,Muddy shelf edges & Laydown clusters,9-12 feet
Crappie,Pre-Spawn,Mild (52-55F),Murky,After Rain,Evening,Lake,Hair jig (slow lift) & Tube jig (pulse-pause),Chartreuse & Silver & Black & Junebug,Timber lines & Shallow stumps,8-11 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Morning,Pond,Vertical jig with minnow (slow lift-drop) & Hair jig (deadstick),Chartreuse & White & Blue & Glow,Brush near banks & Drop-off edges,6-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Afternoon,Pond,Tube jig (pause-lift) & Curl tail grub (drag),Silver & Pink & Pearl & Blue ice,Point ends & Mid-pond channels,7-11 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Sunny,Evening,Pond,Small swimbait (slow roll) & Jig/minnow combo (hover),White & Natural & Chartreuse & Glow,Submerged timber & Ledge drops,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Morning,Pond,Hair jig (pulse-hold) & Marabou jig (drag),Gold & Chartreuse & Blue & Pearl,Staging flats & Creek inlets,6-8 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Afternoon,Pond,Tube jig (tap-drag) & Vertical minnow rig (pause),Blue ice & Pink & Natural & White,Drop-off shelves & Near structure piles,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Cloudy,Evening,Pond,Curl tail grub (jiggle) & Tight-line minnow (slow lift),Silver & Glow & Chartreuse & Purple,Brushy mid-depth & Sloping flats,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Morning,Pond,Inline spinner jig (pause) & Soft plastic minnow (bounce),White & Chartreuse & Orange & Gold,Windward ledges & Timber seams,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Afternoon,Pond,Hair jig (tap-hold) & Tube jig (flutter),Blue & Glow & Chartreuse & Pink,Gravel slopes & Laydowns,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Windy,Evening,Pond,Vertical jig (pause-drag) & Minnow on slip float (drift),Natural & Shad & Gold & Chartreuse,Shaded banks & Timber lines,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Morning,Pond,Tube jig (hover-lift) & Soft plastic grub (pulse),Silver & White & Chartreuse & Glow,Silty shelves & Flooded grass edges,6-8 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Afternoon,Pond,Hair jig (slow drag) & Minnow under float (still),Pearl & Orange & Blue & Chartreuse,Creek cuts & Stump flats,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,Rainy,Evening,Pond,Curl tail grub (pause-drop) & Vertical jig (steady lift),Pink & Glow & Firetiger & Blue,Timber arms & Channel seams,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Morning,Pond,Tube jig (drag) & Marabou jig (flutter-drop),Chartreuse & Gold & Shad & Blue ice,Shallow humps & Timber shelves,6-8 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Afternoon,Pond,Swimbait (pause-roll) & Hair jig (pulse),Silver & Chartreuse & Pink & Glow,Creek intersections & Brush points,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Clear,After Rain,Evening,Pond,Slip float with jig (still) & Curl tail grub (slow bounce),Blue ice & Natural & Gold & White,Drop-off corners & Flat stumps,6-8 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Morning,Pond,Tight-line minnow (lift-hold) & Tube jig (pause-drag),Chartreuse & Glow & Blue ice & White,Shady transitions & Stump edges,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Afternoon,Pond,Hair jig (tap-drag) & Curl tail grub (bounce),Silver & Pink & Firetiger & Natural,Creek arms & Timber lines,7-10 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Sunny,Evening,Pond,Swimbait (slow roll) & Marabou jig (jiggle),Pearl & Chartreuse & Orange & White,Flat shelves & Brushy banks,6-8 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Morning,Pond,Tube jig (hover) & Soft plastic minnow (tap),Gold & Glow & Chartreuse & Blue,Timber gaps & Gravel slopes,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Afternoon,Pond,Inline spinner jig (pulse) & Jig/minnow combo (pause),Pink & Natural & Chartreuse & White,Shallow channels & Drop-off lips,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Cloudy,Evening,Pond,Hair jig (deadstick) & Curl tail grub (hold),Blue & Glow & Orange & Chartreuse,Timber shelf breaks & Creek ledges,6-8 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Morning,Pond,Vertical jig (pause-drag) & Minnow under float (barely move),Chartreuse & Silver & Glow & Pink,Wind-blown flats & Shady brush,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Afternoon,Pond,Tight-line grub (lift-hold) & Marabou jig (pulse),Gold & Blue ice & Chartreuse & White,Flooded grass edges & Brush drop-offs,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Windy,Evening,Pond,Tube jig (pause-roll) & Swimbait (jiggle),Pink & White & Firetiger & Glow,Muddy humps & Sloped points,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Morning,Pond,Hair jig (tap-drag) & Curl tail grub (hover),Natural & Chartreuse & Blue & Silver,Creek transitions & Rocky drop-offs,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Afternoon,Pond,Tube jig (pause) & Minnow on slip rig (still),Orange & Glow & White & Purple,Sheltered channels & Mid-depth brush,6-8 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,Rainy,Evening,Pond,Swimbait (steady lift) & Hair jig (bounce),Blue ice & Gold & Chartreuse & Natural,Flooded timber & Shelf corners,6-8 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Morning,Pond,Vertical jig (pause-lift) & Marabou jig (drag),Pink & White & Blue & Glow,Flat cover & Transition edges,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Afternoon,Pond,Tube jig (tap-hold) & Soft plastic grub (slow roll),Silver & Firetiger & Chartreuse & Blue,Creek mouths & Gravel transitions,6-9 feet
Crappie,Pre-Spawn,Mild (52-55F),Clear,After Rain,Evening,Pond,Hair jig (slow flutter) & Curl tail grub (jiggle),Glow & White & Pink & Shad,Mid-pond timber & Shallow ledges,6-8 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Morning,Pond,Hair jig (lift-drop) & Tube jig (pause),Chartreuse & Black & Pink & White,Brush piles near shore & Creek channel cuts,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Afternoon,Pond,Vertical jig (slow roll) & Curl tail grub (drag),Red & Chartreuse & Blue & Glow,Mid-pond stumps & Gravel slopes,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Sunny,Evening,Pond,Marabou jig (deadstick) & Minnow on float (pause),Gold & Black & Silver & Pink,Brush edges & Muddy shelves,6-8 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Morning,Pond,Swimbait (lift-drop) & Hair jig (hover),Purple & Chartreuse & Orange & Blue,Stained timber arms & Rock transitions,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Afternoon,Pond,Tube jig (tap-drag) & Tight-line minnow (lift),Pink & White & Firetiger & Glow,Drop-off points & Creek ledges,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Cloudy,Evening,Pond,Curl tail grub (flutter) & Jig/minnow combo (pause),Chartreuse & Silver & Black & Red,Timber clusters & Flat ledges,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Morning,Pond,Vertical jig (pause-lift) & Hair jig (jiggle),Blue & Chartreuse & Glow & Natural,Windward stumps & Sloped flats,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Afternoon,Pond,Marabou jig (tap-hold) & Tube jig (pause),Gold & Pink & Black & White,Muddy brush lines & Channel transitions,7-10 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Windy,Evening,Pond,Soft plastic grub (slow drag) & Swimbait (bounce),Silver & Red & Chartreuse & Blue,Flat timber & Creek bends,6-9 feet
Crappie,Pre-Spawn,Cold (48-51F),Stained,Rainy,Morning,Pond,Hair jig (pulse) & Minnow on jighead (lift-drop),Black & Chartreuse & White & Orange,Stump flats & Shady shelves,6-8 feet
